booth,station_id,station_id_2,station_id_3,complex_id,stop_name,complex_name
R161A,313,,,313,72 St,
R161B,313,,,313,72 St,
R159,314,,,314,66 St-Lincoln Center,
R160,314,,,314,66 St-Lincoln Center,
R160A,314,,,314,66 St-Lincoln Center,
R158,315,,,614,59 St-Columbus Circle,59 St - Columbus Circle
R154,316,,,316,50 St,
R155,316,,,316,50 St,
R143,317,,,611,Times Sq-42 St,Times Sq - 42 St / Port Authority Bus Terminal
R144,11,317,467,611,Times Sq-42 St,Times Sq - 42 St / Port Authority Bus Terminal
R145,317,11,467,611,Times Sq-42 St,Times Sq - 42 St / Port Authority Bus Terminal
R146,317,11,467,611,Times Sq-42 St,Times Sq - 42 St / Port Authority Bus Terminal
R147,317,468,11,611,Times Sq-42 St,Times Sq - 42 St / Port Authority Bus Terminal
R150,317,468,11,611,Times Sq-42 St,Times Sq - 42 St / Port Authority Bus Terminal
R151,317,468,11,611,Times Sq-42 St,Times Sq - 42 St / Port Authority Bus Terminal
R135,318,,,318,34 St-Penn Station,
R137,318,,,318,34 St-Penn Station,
R138,318,,,318,34 St-Penn Station,
R139,318,,,318,34 St-Penn Station,
R140,318,,,318,34 St-Penn Station,
R141,318,,,318,34 St-Penn Station,
R142,318,,,318,34 St-Penn Station,
R133,319,,,319,28 St,
R134,319,,,319,28 St,
R131,320,,,320,23 St,
R132,320,,,320,23 St,
R129,321,,,321,18 St,
R130,321,,,321,18 St,
R127,322,,,601,14 St,14 St / 6 Av
R128,322,,,601,14 St,14 St / 6 Av
R125,323,,,323,Christopher St-Sheridan Sq,
R126,323,,,323,Christopher St-Sheridan Sq,
R121,324,,,324,Houston St,
R122,324,,,324,Houston St,
R123,324,,,324,Houston St,
R124,324,,,324,Houston St,
R119,325,,,325,Canal St,
R120,325,,,325,Canal St,
R117,326,,,326,Franklin St,
R118,326,,,326,Franklin St,
R116,327,,,327,Chambers St,
R106,328,,,328,WTC Cortlandt,
R107,328,,,328,WTC Cortlandt,
R107D,328,,,328,WTC Cortlandt,
R108,328,,,328,WTC Cortlandt,
R108A,328,,,328,WTC Cortlandt,
R109,328,,,328,WTC Cortlandt,
R102,329,,,329,Rector St,
R103,329,,,329,Rector St,
R101,330,,,635,South Ferry,South Ferry / Whitehall
R101S,330,,,635,South Ferry,South Ferry / Whitehall
R115,331,,,624,Park Place,Chambers St / WTC / Park Place / Cortlandt St
R113,332,,,628,Fulton St,Fulton St
R113A,332,,,628,Fulton St,Fulton St
R114,332,,,628,Fulton St,Fulton St
R110,333,,,333,Wall St,
R111,333,,,333,Wall St,
R112,333,,,333,Wall St,
R112A,333,,,333,Wall St,
R600,334,,,334,Clark St,
R601A,335,24,,620,Borough Hall,Borough Hall / Court St
R605,336,,,336,Hoyt St,
R606,336,,,336,Hoyt St,
R607,336,,,336,Hoyt St,
R608,337,,,337,Nevins St,
R609,337,,,337,Nevins St,
R610,338,40,,617,Atlantic Av-Barclays Ctr,Atlantic Av-Barclays Ctr
R612,338,40,,617,Atlantic Av-Barclays Ctr,Atlantic Av-Barclays Ctr
R617,339,,,339,Bergen St,
R618,339,,,339,Bergen St,
R619,340,,,340,Grand Army Plaza,
R621,341,,,341,Eastern Pkwy-Brooklyn Museum,
R622,342,,,626,Franklin Avenue-Medgar Evers College,Franklin Av-Medgar Evers College / Botanic Garden
R623,343,,,343,Nostrand Av,
R624,344,,,344,Kingston Av,
R625,345,,,345,Crown Hts-Utica Av,
R626,345,,,345,Crown Hts-Utica Av,
R627,346,,,346,Sutter Av-Rutland Rd,
R628,347,,,347,Saratoga Av,
R629,348,,,348,Rockaway Av,
R630,349,,,349,Junius St,
R632,350,,,350,Pennsylvania Av,
R633,351,,,351,Van Siclen Av,
